"Count","Error"
"46","error TS2353: Object literal may only specify known properties, and 'offset' does not exist in type 'AnimationKeyframe'."
"24","error TS2322: Type '{ background: string; padding: string; borderRadius: string; border: string; textAlign: string; }' is not assignable to type 'CSSProperties'."
"24","error TS2322: Type '{ backgroundColor: string; border: string; borderRadius: string; padding: string; textAlign: string; }' is not assignable to type 'CSSProperties'."
"18","error TS2322: Type 'string' is not assignable to type 'string[]'."
"12","error TS2448: Block-scoped variable 'Animation' used before its declaration."
"11","error TS2554: Expected 1 arguments, but got 0."
"11","error TS2820: Type '""outline""' is not assignable to type '""text"" | ""filled"" | ""elevated"" | ""outlined"" | ""filled-tonal""'. Did you mean '""outlined""'?"
"10","error TS2393: Duplicate function implementation."
"10","error TS2339: Property 'performance' does not exist on type '{ running: boolean; config: FrameworkConfig; queueStatus: any; systemStats: any; metrics: any; }'."
"10","error TS1117: An object literal cannot have multiple properties with the same name."
"10","error TS2339: Property 'maxFileUploadSize' does not exist on type 'Promise<{ maxFileUploadSize: number; autoSave: boolean; syncInterval: number; preferredBiome: string; }>'."
"8","error TS2341: Property 'post' is private and only accessible within class 'APIClient'."
"8","error TS2322: Type '{ color: string; intensity: number; }' is not assignable to type 'string'."
"7","error TS2339: Property 'stats' does not exist on type 'MLEnhancedDOMHarvestingWorker'."
"7","error TS2353: Object literal may only specify known properties, and 'id' does not exist in type 'Omit<SEOAttribute, ""id"">'."
"7","error TS2341: Property 'getUserSettings' is private and only accessible within class 'PersistentBlockchainStorage'."
"7","error TS2341: Property 'get' is private and only accessible within class 'APIClient'."
"6","error TS2350: Only a void function can be called with the 'new' keyword."
"6","error TS2305: Module '""antd""' has no exported member 'Descriptions'."
"6","error TS2353: Object literal may only specify known properties, and 'id' does not exist in type 'Omit<DynamicBacklinkRule, ""id"">'."
"6","error TS2305: Module '""antd""' has no exported member 'ColorPicker'."
"6","error TS2305: Module '""antd""' has no exported member 'MenuProps'."
"5","error TS2724: '""antd""' has no exported member named 'TimePicker'. Did you mean 'DatePicker'?"
"5","error TS2322: Type '""outlined""' is not assignable to type '""error"" | ""success"" | ""info"" | ""warning"" | ""secondary"" | ""primary""'."
"5","error TS2322: Type '{ percent: number; size: ""small""; style: { width: string; }; }' is not assignable to type 'IntrinsicAttributes & EnhancedProgressProps'."
"5","error TS2741: Property 'schema' is missing in type '{ id: string; name: string; type: ""text""; description: string; required: true; }' but required in type 'AttributeDefinition'."
"5","error TS2551: Property 'extractAccessibilityProperties' does not exist on type 'SchemaMiningSystem'. Did you mean 'generateAccessibilityProperties'?"
"5","error TS2551: Property 'extractSemanticProperties' does not exist on type 'SchemaMiningSystem'. Did you mean 'generateSemanticProperties'?"
"5","error TS2551: Property 'extractVisualProperties' does not exist on type 'SchemaMiningSystem'. Did you mean 'generateVisualProperties'?"
"5","error TS2349: This expression is not callable."
"5","error TS2322: Type 'string[]' is not assignable to type 'string'."
"5","error TS2694: Namespace 'global.Express' has no exported member 'Multer'."
"5","error TS2551: Property 'extractBehavioralProperties' does not exist on type 'SchemaMiningSystem'. Did you mean 'generateBehavioralProperties'?"
"4","error TS2305: Module '""antd""' has no exported member 'notification'."
"4","error TS2339: Property 'utils' does not exist on type 'typeof import(""E:/Personal/project/lightdom/LightDom/node_modules/ethers/lib.esm/ethers"")'."
"4","error TS2339: Property 'trackEvent' does not exist on type 'BridgeAnalyticsService'."
"4","error TS2305: Module '""antd""' has no exported member 'QRCode'."
"4","error TS2339: Property 'mlInsights' does not exist on type '{ mlEnhanced: boolean; confidenceMultiplier: number; predictedImprovements: any; visualOptimizations: any; anomalyDetected: any; cssBytes: number; jsBytes: number; domMemory: number; orphanedElementsSize: number; ... 5 more ...; tokenValue: number; }'."
"4","error TS2345: Argument of type '{ name: string; category: string; subcategory: string; description: string; expectedOutcome: string; trainingData: { type: string; count: number; quality: number; features: string[]; }; neuralNetworkConfig: { ...; }; }' is not assignable to parameter of type 'Omit<TrainingSection, ""children"" | ""id"" | ""status"" | ""progress"" | ""trainingHistory"" | ""trustRating"" | ""currentAccuracy"" | ""bestAccuracy"" | ""userFeedback"">'."
"4","error TS2353: Object literal may only specify known properties, and 'id' does not exist in type 'Omit<BacklinkBridge, ""id"">'."
"4","error TS2347: Untyped function calls may not accept type arguments."
"4","error TS2307: Cannot find module '../services/HeadlessChromeService' or its corresponding type declarations."
"4","error TS2300: Duplicate identifier 'ShapeStar'."
"4","error TS2741: Property '$$typeof' is missing in type 'ReactElement<any, any>' but required in type 'ForwardRefExoticComponent<Omit<LucideProps, ""ref""> & RefAttributes<SVGSVGElement>>'."
"4","error TS2307: Cannot find module '../types/MetaverseAnimationTypes' or its corresponding type declarations."
"4","error TS2322: Type '""#ff4d4f"" | ""#52c41a"" | ""#d1d5db"" | ""#fa8c16""' is not assignable to type '""error"" | ""success"" | ""warning"" | ""default"" | ""secondary"" | ""primary""'."
"4","error TS2724: '""../utils/Logger""' has no exported member named 'logger'. Did you mean 'Logger'?"
"4","error TS2322: Type '""body2""' is not assignable to type '""small"" | ""h1"" | ""h2"" | ""h3"" | ""h4"" | ""h5"" | ""h6"" | ""lead"" | ""paragraph""'."
"3","error TS2305: Module '""antd""' has no exported member 'Calendar'."
"3","error TS2305: Module '""@/components/ui""' has no exported member 'Target'."
